dex,a),b),c),d),e),f),g),h),i),j),diam,price,Column1
111,14202.4,4.5,63.91,422.7,0,0,0,0,0,0,1.3,3,
112,5233.9,0.95,4.97,31.79,0,0,0,0,0,0,0.7,2.9,
113,10751.3,2.7,29.03,345.58,0,0,0,0,0,0,0.9,5.4,
114,3040.3,2.7,8.21,38,0,0,0,0,0,0,0.7,2.1,
115,5387.8,4.5,24.25,213.81,0,0,0,0,0,0,0.7,4,
116,13458.6,4.5,60.56,614.19,0,0,0,0,0,0,1.2,4.6,
117,4775.2,4.5,21.49,274.77,0,0,0,0,0,0,0.8,5.8,
118,15205.3,4.5,68.42,512.89,0,0,0,0,0,0,1.1,3.4,
119,18908.5,4.5,85.09,1031.73,0,0,0,0,0,0,1.5,5.5,
120,16155.6,4.5,72.7,416.72,0,0,0,0,0,0,1.1,2.6,
121,29864.8,4.5,134.39,1303.64,0,0,0,0,0,0,1.5,4.4,
122,8029.9,0.95,7.63,70.63,0,0,0,0,0,0,1.2,4.2,
123,22033.6,2.7,59.49,537.73,0,0,0,0,0,0,1.3,4.1,
124,30633.7,4.5,137.85,1154.86,0,0,0,0,0,0,1.4,3.8,
125,15015.2,4.5,67.57,878.88,0,0,0,0,0,0,1.1,5.9,
126,17395,4.5,78.28,500.46,0,0,0,0,0,0,1.4,2.9,
127,16857,0.95,16.01,183.59,0,0,0,0,0,0,1.3,5.2,
128,15041.9,4.5,67.69,328.3,0,0,0,0,0,0,1.2,2.2,
129,6503.9,4.5,29.27,387.14,0,0,0,0,0,0,0.7,6,
130,21502.6,4.5,96.76,1023.95,0,0,0,0,0,0,1.3,4.8,
131,12829.5,0.95,12.19,161.22,0,0,0,0,0,0,1.1,6,
132,16989.7,4.5,76.45,876.47,0,0,0,0,0,0,1.3,5.2,
133,5127.1,4.5,23.07,218.72,0,0,0,0,0,0,0.8,4.3,
134,12344.1,4.5,55.55,563.33,0,0,0,0,0,0,1.3,4.6,
135,9123.2,2.7,24.63,255.24,0,0,0,0,0,0,1.1,4.7,
136,8168.1,4.5,36.76,380.86,0,0,0,0,0,0,1,4.7,
137,23090.7,4.5,103.91,985.04,0,0,0,0,0,0,1.4,4.3,
138,8821.6,0.95,8.38,101.62,0,0,0,0,0,0,1.2,5.5,
139,19452.7,4.5,87.54,964.93,0,0,0,0,0,0,1.2,5,
140,11451.1,0.95,10.88,88.74,0,0,0,0,0,0,0.9,3.7,
141,5980,0.95,5.68,48.85,0,0,0,0,0,0,0.9,3.9,
142,4733.6,0.95,4.5,58.49,0,0,0,0,0,0,0.7,5.9,
143,17786.1,4.5,80.04,776.39,0,0,0,0,0,0,1.3,4.4,
144,13273.2,2.7,35.84,387.14,0,0,0,0,0,0,1.3,4.9,
145,5497.8,2.7,14.84,134.17,0,0,0,0,0,0,1,4.1,
146,14928.8,2.7,40.31,275.48,0,0,0,0,0,0,1.2,3.1,
147,2924.8,4.5,13.16,139.28,0,0,0,0,0,0,0.7,4.8,
148,9503.3,4.5,42.76,282.84,0,0,0,0,0,0,1,3,
149,3719.6,2.7,10.04,92.99,0,0,0,0,0,0,0.8,4.2,
150,22619.5,4.5,101.79,1279.1,0,0,0,0,0,0,1.5,5.7,
151,28786.4,2.7,77.72,702.54,0,0,0,0,0,0,1.4,4.1,
152,24476.1,0.95,23.25,128.16,0,0,0,0,0,0,1.4,2.5,
153,8838.1,0.95,8.4,79.59,0,0,0,0,0,0,1.1,4.3,
154,9556.7,4.5,43.01,379.24,0,0,0,0,0,0,1.3,4,
155,6850.2,0.95,6.51,84.65,0,0,0,0,0,0,0.7,5.9,
156,10884,0.95,10.34,132.21,0,0,0,0,0,0,1.3,5.8,
157,15529.7,4.5,69.88,570.05,0,0,0,0,0,0,1.3,3.7,
158,3886.9,2.7,10.49,134.19,0,0,0,0,0,0,0.7,5.8,
159,8344.1,4.5,37.55,215.23,0,0,0,0,0,0,0.8,2.6,
160,7775.4,0.95,7.39,55.37,0,0,0,0,0,0,1,3.4,
161,4310.3,0.95,4.09,31.6,0,0,0,0,0,0,0.7,3.5,
162,13546.5,2.7,36.58,451.56,0,0,0,0,0,0,1.4,5.6,
163,26015.5,0.95,24.71,185.25,0,0,0,0,0,0,1.3,3.4,
164,21036.1,4.5,94.66,1022.6,0,0,0,0,0,0,1.2,4.9,
165,8344.1,4.5,37.55,413.9,0,0,0,0,0,0,0.8,5,
166,19792,2.7,53.44,506.59,0,0,0,0,0,0,1.5,4.3,
167,23398.6,4.5,105.29,1091.02,0,0,0,0,0,0,1.4,4.7,
168,20971.7,4.5,94.37,582.56,0,0,0,0,0,0,1.3,2.8,
169,17581.1,2.7,47.47,512.79,0,0,0,0,0,0,1.1,4.9,
170,9556.7,2.7,25.8,170.66,0,0,0,0,0,0,1.3,3,
171,15550.9,2.7,41.99,518.37,0,0,0,0,0,0,1,5.6,
172,4707.7,4.5,21.18,121.43,0,0,0,0,0,0,0.9,2.6,
173,21705.3,4.5,97.67,1141.27,0,0,0,0,0,0,1.4,5.3,
174,15833.6,0.95,15.04,152.54,0,0,0,0,0,0,1.2,4.6,
175,12532.6,0.95,11.91,154.86,0,0,0,0,0,0,0.9,5.9,
176,14589.6,4.5,65.65,521.06,0,0,0,0,0,0,1.2,3.6,
177,5661.9,0.95,5.38,69.96,0,0,0,0,0,0,0.9,5.9,
178,3568.8,4.5,16.06,191.19,0,0,0,0,0,0,0.8,5.4,
179,12440.7,4.5,55.98,481.34,0,0,0,0,0,0,1.2,3.9,
180,7775.4,4.5,34.99,424.26,0,0,0,0,0,0,1,5.5,
181,10631.1,2.7,28.7,284.77,0,0,0,0,0,0,1.2,4.5,
182,7640.4,4.5,34.38,151.6,0,0,0,0,0,0,0.8,2,
183,9479,0.95,9.01,65.51,0,0,0,0,0,0,0.9,3.3,
184,11547.7,4.5,51.96,481.16,0,0,0,0,0,0,1.3,4.2,
185,14844,4.5,66.8,662.69,0,0,0,0,0,0,1,4.5,
186,19704.1,2.7,53.2,492.61,0,0,0,0,0,0,1.4,4.2,
187,22280.2,4.5,100.26,685.21,0,0,0,0,0,0,1.2,3.1,
188,6232.9,4.5,28.05,148.41,0,0,0,0,0,0,0.8,2.4,
189,20440.8,4.5,91.98,1135.62,0,0,0,0,0,0,1.3,5.6,
190,15396.9,4.5,69.29,656.82,0,0,0,0,0,0,1.3,4.3,
191,14920.2,2.7,40.28,461.82,0,0,0,0,0,0,1.1,5.2,
192,18715.3,0.95,17.78,78.39,0,0,0,0,0,0,1.3,2,
193,15946.7,0.95,15.15,170.33,0,0,0,0,0,0,1.2,5.1,
194,6234.5,2.7,16.83,204.11,0,0,0,0,0,0,0.7,5.5,
195,19615.3,4.5,88.27,544.88,0,0,0,0,0,0,1.5,2.8,
196,23860.4,4.5,107.37,781.16,0,0,0,0,0,0,1.4,3.3,
197,8143,2.7,21.99,198.73,0,0,0,0,0,0,0.8,4.1,
198,14363.4,2.7,38.78,324.89,0,0,0,0,0,0,1.2,3.8,
199,5156.9,4.5,23.21,245.57,0,0,0,0,0,0,0.7,4.8,
200,13874.8,4.5,62.44,564.36,0,0,0,0,0,0,1.1,4.1,
